# Downloaded spreadsheet from https://www.dlms.com/flag-id/flag-id-list
# and saved as tab separated list and added this header. 2019-04-01
# FLAG ID <TAB> Manufacturer <TAB> Country <TAB> World Region
IDS	IDS GmbH	Germany	Europe
IEC	leonnardo Corporation	Ukraine	Europe
IEE	I.E. Electromatic, S.L	Spain	Europe
IEI	Informage Energy Pvt. Ltd.	India	Asia
IEN	Institute of Power Engineering	Poland	Europe
IES	Integrated Electronic Systems Lab Co., Ltd.	China	Asia
IFC	infocon doo	Montenegro	Europe
IFX	Infineon Technologies	Germany	Europe
IGR	iGridS GmbH, Hebelweg 2	Germany	Europe
IGS	I.G.S.DATAFLOW S.r.l.	Italy	Europe
IHM	Shenzhen Inhemeter Co., Ltd.	China	Asia
IIF	innogy Metering GmbH 	Germany	Europe
IJE	ILJIN Electric	South Korea	Asia
IJK	IJENKO SA	France	Europe
IKE	IK Elektronik GmbH, Friedrichsgruener Str. 11-13, 08262	Germany	Europe
IKM	Ikom LTD	Croatia	Europe
IKS	IKASIAN	Spain	Europe
IMC	Iranmadar	Iran	Middle East
IME	Fellows s.c.ul. 	Poland	Europe
IMS	IMST GmbH	Germany	Europe
IMT	INTEGRA METERING AG	Switzerland	Europe
INC	Incotex	Russian Federation	Europe
IND	INDRA SISTEMAS	Spain	Europe
INE	INNOTAS Elektronik GmbH	Germany	Europe
INF	Infometric	Sweden	Europe
INI	Altero AB	Sweden	Europe
INM	Inepro Metering BV	Netherlands	Europe
INN	INNEXIV, Inc.	United States of America	North America
INO	Indotech Switchgear & Controls(Delhi) Pvt. Ltd	India	Asia
